A;Augsburg
AA;Ostalbkreis
AB;Aschaffenburg
ABG;Altenburger Land
ABI;Anhalt-Bitterfeld
AC;Aachen
AE;Vogtlandkreis
AH;Borken
AIB;München , Rosenheim
AIC;Aichach-Friedberg
AK;Altenkirchen (Westerwald)
ALF;Hildesheim
ALZ;Aschaffenburg
AM;Amberg, Stadt
AN;Ansbach
ANA;Erzgebirgskreis
ANG;Uckermark
ANK;Vorpommern-Greifswald
AÖ;Altötting
AP;Weimarer Land
APD;Weimarer Land
ARN;Ilm-Kreis
ART;Kyffhäuserkreis
AS;Amberg-Sulzbach
ASL;Salzlandkreis
ASZ;Erzgebirgskreis
AT;Mecklenburgische Seenplatte
AU;Erzgebirgskreis
AUR;Aurich
AW;Ahrweiler
AZ;Alzey-Worms
AZE;Anhalt-Bitterfeld
B;Berlin
BA;Bamberg
BAD;Baden-Baden, Stadt
BAR;Barnim
BB;Böblingen
BBG;Salzlandkreis
BC;Biberach
BCH;Neckar-Odenwald-Kreis
BE;Warendorf
BED;Mittelsachsen
BER;Barnim
BF;Steinfurt
BGD;Berchtesgadener Land
BGL;Berchtesgadener Land
BH;Ortenaukreis , Rastatt
BI;Bielefeld, Stadt
BID;Marburg-Biedenkopf
BIN;Mainz-Bingen
BIR;Birkenfeld
BIT;Eifelkreis Bitburg-Prüm
BIW;Bautzen
BK;Börde , Rems-Murr-Kreis, Schwäbisch Hall
BKS;Bernkastel-Wittlich
BL;Zollernalbkreis
BLB;Siegen-Wittgenstein
BLK;Burgenlandkreis
BM;Rhein-Erft-Kreis
BN;Bonn, Stadt
BNA;Leipzig
BO;Bochum, Stadt
BÖ;Börde
BOG;Straubing-Bogen
BOH;Borken
BOR;Borken
BOT;Bottrop, Stadt
BRA;Wesermarsch
BRB;Brandenburg, Stadt
BRG;Jerichower Land
BRK;Bad Kissingen
BRL;Goslar
BRV;Rotenburg (Wümme)
BS;Braunschweig, Stadt
BSB;Osnabrück
BSK;Oder-Spree
BT;Bayreuth
BTF;Anhalt-Bitterfeld
BÜD;Wetteraukreis
BUL;Amberg-Sulzbach , Schwandorf
BÜR;Paderborn
BÜS;Konstanz, Gemeinde Büsingen am Hochrhein
BÜZ;Rostock, Landkreis
BZ;Bautzen
C;Chemnitz, Stadt
CA;Oberspreewald-Lausitz
CAS;Recklinghausen
CB;Cottbus
CE;Celle
CHA;Cham
CLP;Cloppenburg
CLZ;Goslar
CO;Zulassungsstelle Coburg, Zweckverband
COC;Cochem-Zell
COE;Coesfeld
CR;Schwäbisch Hall
CUX;Cuxhaven
CW;Calw
D;Düsseldorf, Stadt
DA;Darmstadt
DAH;Dachau
DAN;Lüchow-Dannenberg
DAU;Vulkaneifel
DBR;Rostock, Landkreis
DD;Dresden, Stadt
DE;Dessau-Roßlau, Stadt
DEG;Deggendorf
DEL;Delmenhorst, Stadt
DGF;Dingolfing-Landau
DH;Diepholz
DI;Darmstadt-Dieburg
DIL;Lahn-Dill-Kreis
DIN;Wesel
DIZ;Rhein-Lahn-Kreis
DKB;Ansbach
DL;Mittelsachsen
DLG;Dillingen an der Donau
DM;Mecklenburgische Seenplatte
DN;Düren
DO;Dortmund, Stadt
DON;Donau-Ries in Donauwörth
DU;Duisburg, Stadt
DUD;Göttingen
DÜW;Bad Dürkeim
DW;Sächsische Schweiz-Osterzgebirge
DZ;Nordsachsen
E;Essen, Stadt
EA;Eisenach, Stadt
EB;Nordsachsen
EBE;Ebersberg
EBN;Haßberge
EBS;Bayreuth , Forchheim , Kulmbach
ECK;Rendsburg-Eckernförde
ED;Erding
EE;Elbe-Elster
EF;Erfurt, Stadt
EG;Rottal-Inn
EH;Oder-Spree
EI;Eichstätt
EIC;Eichsfeld
EIL;Mansfeld-Südharz
EIN;Northeim
EIS;Saale-Holzland-Kreis
EL;Emsland
EM;Emmendingen
EMD;Emden, Stadt
EMS;Rhein-Lahn-Kreis
EN;Ennepe-Ruhr-Kreis
ER;Erlangen, Stadt
ERB;Odenwaldkreis
ERH;Erlangen-Höchstadt
ERK;Heinsberg
ERZ;Erzgebirgskreis
ES;Esslingen
ESB;Amberg-Sulzbach , Bayreuth , Neustadt a. d. Waldnaab , Nürnberger Land
ESW;Werra-Meißner-Kreis
