plz;note
1067;Dresden
1069;Dresden
1097;Dresden
1099;Dresden
1108;Dresden
1109;Dresden
1127;Dresden
1129;Dresden
1139;Dresden
1156;Dresden
1157;Dresden
1159;Dresden
1169;Dresden
1187;Dresden
1189;Dresden
1217;Dresden
1219;Dresden
1237;Dresden
1239;Dresden
1257;Dresden
1259;Dresden
1277;Dresden
1279;Dresden
1307;Dresden
1309;Dresden
1324;Dresden
1326;Dresden
1328;Dresden
1445;Radebeul
1454;Radeberg, Wachau
1458;Ottendorf-Okrilla
1465;Dresden
1468;Moritzburg
1471;Radeburg
1477;Arnsdorf b. Dresden
1558;Großenhain
1561;Großenhain, Ebersbach u.a.
1587;Riesa
1589;Riesa
1591;Riesa
1594;Riesa, Stauchitz, Hirschstein
1609;Gröditz, Wülknitz, Röderaue
1612;Nünchritz, Glaubitz
1616;Strehla
1619;Zeithain
1623;Lommatzsch
1640;Coswig
1662;Meißen
1665;Käbschütztal, Klipphausen, Diera-Zehren
1683;Nossen
1689;Weinböhla
1705;Freital
1723;Wilsdruff
1728;Bannewitz
1731;Kreischa
1734;Rabenau
1737;Tharandt u.a.
1738;Dorfhain
1744;Dippoldiswalde
1762;Hartmannsdorf-Reichenau
1768;Glashütte
1773;Altenberg
1774;Klingenberg
1776;Hermsdorf/Erzgeb.
1778;Altenberg
1796;Pirna, Struppen, Dohma
1809;Heidenau
1814;Bad Schandau
1816;Bad Gottleuba-Berggießhübel
1819;Bahretal
1824;Königstein/Sächs.Schw.
1825;Liebstadt
1829;Wehlen
1833;Stolpen, Dürrröhrsdorf-Dittersbach
1844;Neustadt i. Sa.
1847;Lohmen
1848;Hohnstein
1855;Sebnitz
1877;Bischofswerda u.a.
1896;Pulsnitz
1900;Großröhrsdorf, Bretnig-Hauswalde
1904;Neukirch/Lausitz
1906;Burkau
1909;Großharthau, Frankenthal
1917;Kamenz
1920;Elstra, Oßling u.a.
1936;Königsbrück u.a.
1945;Ruhland
1968;Senftenberg
1979;Lauchhammer
1983;Großräschen
1987;Schwarzheide N.L.
1990;Ortrand
1993;Schipkau
1994;Schipkau
1996;Senftenberg
1998;Schipkau
2625;Bautzen
2627;Weißenberg, Hochkirch u.a.
2633;Göda
2681;Wilthen
2689;Sohland a. d. Spree
2692;Doberschau-Gaußig, Großpostwitz, Obergurig
2694;Großdubrau, Malschwitz
2699;Königswartha
2708;Löbau, Kottmar u.a.
2727;Ebersbach-Neugersdorf
2730;Ebersbach-Neugersdorf
2733;Cunewalde
2736;Beiersdorf, Oppach
2739;Kottmar
2742;Neusalza-Spremberg
2747;Herrnhut
2748;Bernstadt a. d. Eigen
2763;Zittau u.a.
2779;Großschönau
2782;Seifhennersdorf
2785;Olbersdorf
2788;Zittau
2791;Oderwitz
2794;Leutersdorf, Spitzkunnersdorf
2796;Jonsdorf
2797;Oybin
2799;Großschönau
2826;Görlitz
2827;Görlitz
2828;Görlitz
2829;Markersdorf, Neißeaue u.a.
2894;Reichenbach, Vierkirchen
2899;Ostritz, Schönau-Berzdorf
2906;Niesky, Hohendubrau u.a.
2923;Hähnichen, Horka, Kodersdorf
2929;Rothenburg/O.L.
2943;Weißwasser, Boxberg
2953;Bad Muskau, Groß Düben, Gablenz
2956;Rietschen
2957;Krauschwitz, Weißkeißel
2959;Schleife
2977;Hoyerswerda
2979;Spreetal, Elsterheide
2991;Lauta
2994;Bernsdorf
2997;Wittichenau
2999;Lohsa
3042;Cottbus
3044;Cottbus
3046;Cottbus
3048;Cottbus
3050;Cottbus
3051;Cottbus
3052;Cottbus
3053;Cottbus
3054;Cottbus
3055;Cottbus
3058;Neuhausen/Spree
3096;Burg/Spreewald u.a.
3099;Kolkwitz
3103;Neu-Seeland, Neupetershain
3116;Drebkau
3119;Welzow
3130;Spremberg, Tschernitz u.a.
3149;Forst/ Lausitz
3159;Döbern
3172;Guben, Schenkendöbern
3185;Peitz
3197;Jänschwalde
3205;Calau, Bronkow
3222;Lübbenau/ Spreewald
3226;Vetschau
3229;Altdöbern, Luckaitztal
3238;Finsterwalde
3246;Crinitz
3249;Sonnewalde
3253;Doberlug-Kirchhain
4103;Leipzig
4105;Leipzig
4107;Leipzig
4109;Leipzig
4129;Leipzig
4155;Leipzig
4157;Leipzig
4158;Leipzig
4159;Leipzig
4177;Leipzig
4178;Leipzig
4179;Leipzig
4205;Leipzig
4207;Leipzig
4209;Leipzig
4229;Leipzig
4249;Leipzig
4275;Leipzig
4277;Leipzig
4279;Leipzig
4288;Leipzig
4289;Leipzig
4299;Leipzig
4315;Leipzig
4316;Leipzig
4317;Leipzig
4318;Leipzig
4319;Leipzig
4328;Leipzig
4329;Leipzig
4347;Leipzig
4349;Leipzig
4356;Leipzig
4357;Leipzig
4416;Markkleeberg
4420;Markranstädt
4425;Taucha
4435;Schkeuditz
4442;Zwenkau
4451;Borsdorf
4463;Großpösna
4509;Delitzsch, Krostitz u.a.
4519;Rackwitz
4523;Pegau, Elstertrebnitz
4539;Groitzsch
4552;Borna
4564;Böhlen
4565;Regis-Breitingen
4567;Kitzscher
4571;Rötha
4575;Neukieritzsch, Deutzen
4600;Altenburg
4603;Nobitz, Göhren, Windischleuba
4610;Meuselwitz
4613;Lucka
4617;Rositz, Starkenberg, Treben
4618;Langenleuba-Niederhain
4626;Schmölln, Altkirchen, Nöbdenitz u.a.
4639;Gößnitz
4643;Geithain
4651;Bad Lausick
4654;Frohburg
4668;Grimma
4680;Colditz
4683;Naunhof
4687;Trebsen/Mulde
4703;Leisnig
4720;Döbeln, Großweitzschen u.a.
4736;Waldheim
4741;Roßwein
4746;Hartha
4749;Ostrau
4758;Oschatz u.a.
4769;Mügeln, Naundorf
4774;Dahlen
4779;Wermsdorf
4808;Wurzen
4821;Brandis
4824;Brandis
4827;Machern
4828;Bennewitz, Machern
4838;Eilenburg u.a.
4849;Bad Düben
4860;Torgau, Dreiheide
4861;Torgau
4862;Mockrehna
4874;Belgern-Schildau
4880;Dommitzsch
4886;Arzberg, Beilrode
4889;Belgern-Schildau
4895;Falkenberg/ Elster
4910;Elsterwerda
4916;Herzberg/ Elster
4924;Bad Liebenwerda
4928;Plessa, Schraden
4931;Mühlberg, Bad Liebenwerda
4932;Röderland, Großthiemig u.a.
4934;Hohenleipisch
4936;Schlieben
4938;Uebigau-Wahrenbrück
6108;Halle (Saale)
6110;Halle/ Saale
6112;Halle/ Saale
6114;Halle/ Saale
6116;Halle/ Saale
6118;Halle/ Saale
6120;Halle/ Saale
6122;Halle/ Saale
6124;Halle/ Saale
6126;Halle/ Saale
6128;Halle/ Saale
6130;Halle/ Saale
6132;Halle/ Saale
6179;Teutschenthal
6184;Kabelsketal
6188;Landsberg
6193;Petersberg
6198;Salzatal
6217;Merseburg
6231;Bad Dürrenberg
6237;Leuna
6242;Braunsbedra
6246;Bad Lauchstädt
6249;Mücheln/ Geiseltal
6255;Mücheln
6258;Schkopau
6259;Frankleben
6268;Querfurt, Obhausen, Mücheln u.a.
6279;Schraplau, Farnstädt
6295;Eisleben
6308;Klostermansfeld, Benndorf
6311;Helbra
6313;Hergisdorf
6317;Seegebiet Mansfelder Land
6333;Hettstedt, Endorf
6343;Mansfeld
6347;Gerbstedt
6366;Köthen
6369;Südliches Anhalt u.a.
6385;Aken (Elbe)
6386;Osternienburger Land
6388;Südliches Anhalt, Köthen
6406;Bernburg (Saale)
6408;Ilberstedt
6420;Könnern
6425;Alsleben/Saale, Plötzkau
6429;Nienburg (Saale)
6449;Aschersleben
6456;Arnstein
6458;Hedersleben
6463;Falkenstein
6464;Seeland
6466;Seeland
6467;Seeland
6469;Seeland
6484;Quedlinburg
6485;Quedlinburg, Ballenstedt
6493;Ballenstedt, Harzgerode
6502;Thale, Blankenburg
6526;Sangerhausen
6528;Wallhausen, Blankenheim
6536;Südharz, Berga
6537;Kelbra (Kyffhäuser)
6542;Allstedt
6543;Falkenstein
6556;Artern/Unstrut u.a.
6567;Bad Frankenhausen/Kyffhäuser
6571;Roßleben-Wiehe, Gehofen
6577;An der Schmücke, Etzleben, Oberheldrungen
6578;Bilzingsleben Kannawurf
6618;Naumburg
6628;Lanitz-Hassel-Tal, Molauer Land
6632;Freyburg, Balgstädt
6636;Laucha an der Unstrut
6638;Karsdorf
6642;Nebra, Kaiserpfalz
6647;Bad Bibra, Finne u.a.
6648;Eckartsberga
6667;Weißenfels, Stößen
6679;Hohenmölsen
6682;Teuchern
6686;Lützen
6688;Weißenfels
6711;Zeitz
6712;Zeitz, Gutenborn u.a.
6721;Meineweh, Osterfeld
6722;Droyßig, Wetterzeube
6729;Elsteraue
6749;Bitterfeld-Wolfen
6766;Bitterfeld-Wolfen
6772;Gräfenhainichen
6773;Gräfenhainichen
6774;Muldestausee
6779;Raguhn-Jeßnitz
6780;Zörbig
6785;Oranienbaum-Wörlitz
6792;Sandersdorf-Brehna
6794;Sandersdorf-Brehna
6796;Sandersdorf-Brehna
6800;Raguhn-Jeßnitz
6803;Bitterfeld-Wolfen
6808;Bitterfeld-Wolfen
6809;Roitzsch, Petersroda
6842;Dessau-Roßlau
6844;Dessau-Roßlau
6846;Dessau-Roßlau
6847;Dessau-Roßlau
6849;Dessau-Roßlau
6861;Dessau-Roßlau
6862;Dessau-Roßlau
6868;Coswig (Anhalt)
6869;Coswig (Anhalt)
6886;Wittenberg
6888;Wittenberg
6889;Wittenberg
6895;Zahna-Elster
6901;Kemberg
6905;Bad Schmiedeberg
6917;Jessen (Elster)
6925;Annaburg
7318;Saalfeld/Saale
7330;Probstzella
7333;Unterwellenborn
7338;Kaulsdorf
7343;Wurzbach
7349;Lehesten
7356;Lobenstein
7366;Rosenthal am Rennsteig
7368;Remptendorf
7381;Pößneck
7387;Krölpa
7389;Ranis u.a.
7407;Rudolstadt
7422;Bad Blankenburg
7426;Königsee-Rottenbach u.a.
7427;Schwarzburg
7429;Döschnitz, Sitzendorf, Rohrbach
7545;Gera
7546;Gera
7548;Gera
7549;Gera
7551;Gera
7552;Gera
7554;Brahmenau
7557;Gera, Zedlitz u.a.
7570;Weida, Harth-Pöllnitz, Wünschendorf
7580;Ronneburg, Braunichswalde, Großenstein u.a.
7586;Bad Köstritz
7589;Münchenbernsdorf, Schwarzbach, Bocka
7607;Eisenberg, Gösen, Hainspitz
7613;Crossen, Heideland u.a.
7616;Bürgel u.a.
7619;Schkölen
7629;Hermsdorf
7639;Bad Klosterlausnitz
7646;Stadtroda u.a.
7743;Jena
7745;Jena
7747;Jena
7749;Jena
7751;Jena, Bucha, Großpürschütz u.a.
7768;Kahla
7774;Dornburg-Camburg u.a.
7778;Neuengönna u.a.
7806;Neustadt an der Orla, Weira, u.a
7819;Triptis
7907;Schleiz
7919;Kirschkau, Pausa-Mühltroff
7922;Tanna
7924;Ziegenrück
7926;Gefell
7927;Hirschberg
7929;Saalburg-Ebersdorf
7937;Zeulenroda-Triebes, Langenwolschendorf
7950;Zeulenroda-Triebes, Weißendorf
7952;Pausa-Mühltroff
7955;Auma-Weidatal
7957;Langenwetzendorf
7958;Hohenleuben
7973;Greiz
7980;Berga/Elster u.a.
7985;Elsterberg
7987;Mohlsdorf-Teichwolframsdorf
8056;Zwickau
8058;Zwickau
8060;Zwickau
8062;Zwickau
8064;Zwickau
8066;Zwickau
8107;Kirchberg
8112;Wilkau-Haßlau
8115;Lichtentanne
8118;Hartenstein
8132;Mülsen
8134;Langenweißbach, Wildenfels
8141;Reinsdorf
8144;Hirschfeld
8147;Crinitzberg
8209;Auerbach/Vogtl.
8223;Falkenstein/Vogtl.
8228;Rodewisch
8233;Treuen
8236;Ellefeld
8237;Steinberg
8239;Bergen
8248;Klingenthal/Sa.
8258;Markneukirchen
8261;Schöneck/Vogtl.
8262;Muldenhammer
8267;Klingenthal
8280;Aue
8289;Schneeberg
8294;Lößnitz
8297;Zwönitz
8301;Schlema
8304;Schönheide
8309;Eibenstock
8315;Lauter-Bernsbach
8321;Zschorlau
8324;Bockau
8328;Stützengrün
8340;Schwarzenberg/Erzgeb.
8344;Grünhain-Beierfeld
8349;Johanngeorgenstadt
8352;Raschau
8359;Breitenbrunn/Erzgeb.
8371;Glauchau
8373;Remse
8393;Meerane
8396;Waldenburg
8412;Werdau
8427;Fraureuth
8428;Langenbernsdorf
8451;Crimmitschau
8459;Neukirchen/Pleiße
8468;Reichenbach im Vogtand
8485;Lengenfeld
8491;Netzschkau, Limbach
8496;Neumark
8499;Mylau
8523;Plauen
8525;Plauen
8527;Plauen, Rößnitz
8529;Plauen
8538;Weischlitz u.a.
8539;Rosenbach
8541;Neuensalz
8543;Pöhl
8547;Jößnitz
8548;Rosenbach
8606;Oelsnitz
8626;Adorf
8645;Bad Elster
8648;Bad Brambach
9111;Chemnitz
9112;Chemnitz
9113;Chemnitz
9114;Chemnitz
9116;Chemnitz
9117;Chemnitz
9119;Chemnitz
9120;Chemnitz
9122;Chemnitz
9123;Chemnitz
9125;Chemnitz
9126;Chemnitz
9127;Chemnitz
9128;Chemnitz
9130;Chemnitz
9131;Chemnitz
9212;Limbach-Oberfrohna
9217;Burgstädt
9221;Neukirchen/Erzgeb.
9224;Chemnitz
9228;Chemnitz
9232;Hartmannsdorf
9235;Burkhardtsdorf
9236;Claußnitz
9241;Mühlau
9243;Niederfrohna
9244;Lichtenau
9247;Röhrsdorf
9249;Taura b. Burgstädt
9306;Rochlitz
9322;Penig
9326;Geringswalde
9328;Lunzenau
9337;Callenberg, Hohenstein-Ernstthal, Bernsdorf
9350;Lichtenstein
9353;Oberlungwitz
9355;Gersdorf
9356;St. Egidien
9366;Stollberg/Erzgeb.
9376;Oelsnitz/Erzgebirge
9380;Thalheim/Erzgebirge
9385;Lugau/Erzgeb.
9387;Jahnsdorf
9390;Gornsdorf
9392;Auerbach
9394;Hohndorf
9399;Niederwürschnitz
9405;Zschopau, Gornau
9419;Thum
9423;Gelenau/Erzgeb.
9427;Ehrenfriedersdorf
9429;Wolkenstein
9430;Drebach
9432;Großolbersdorf
9434;Zschopau
9437;Börnichen, Gornau
9439;Amtsberg
9456;Annaberg-Buchholz, Mildenau
9465;Sehma
9468;Geyer
9471;Bärenstein
9474;Crottendorf
9477;Jöhstadt
9481;Scheibenberg
9484;Oberwiesenthal
9487;Schlettau
9488;Wiesa
9496;Marienberg
9509;Pockau-Lengefeld (Pockau)
9514;Pockau-Lengefeld (Lengefeld)
9518;Großrückerswalde
9526;Olbernhau, Pfaffroda, Heidersdorf
9544;Neuhausen/Erzgeb.
9548;Seiffen/Erzgeb.
9557;Flöha
9569;Oederan
9573;Leubsdorf, Gornau, Augustusburg
9575;Eppendorf
9577;Niederwiesa
9579;Grünhainichen
9599;Freiberg
9600;Weißenborn, Oberschöna
9603;Großschirma
9618;Brand-Erbisdorf, Großhartmannsdorf
9619;Dorfchemnitz, Mulda, Sayda
9623;Frauenstein
9627;Bobritzsch
9629;Reinsberg
9633;Halsbrücke
9634;Reinsberg
